Data,Hora,kW,kWh
230607,22:15:00,0,0.0
230607,22:30:00,0,0.0
230607,22:45:00,0,0.0
230607,23:00:00,0,0.0
230607,23:15:00,0,0.0
230607,23:30:00,0,0.0
230607,23:45:00,0,0.0
230608,00:00:00,0,0.0
230608,00:15:00,0,0.0
230608,00:30:00,0,0.0
230608,00:45:00,0,0.0
230608,01:00:00,0,0.0
230608,01:15:00,0,0.0
230608,01:30:00,0,0.0
230608,01:45:00,0,0.0
230608,02:00:00,0,0.0
230608,02:15:00,0,0.0
230608,02:30:00,0,0.0
230608,02:45:00,0,0.0
230608,03:00:00,0,0.0
230608,03:15:00,0,0.0
230608,03:30:00,0,0.0
230608,03:45:00,0,0.0
230608,04:00:00,0,0.0
230608,04:15:00,0,0.0
230608,04:30:00,0,0.0
230608,04:45:00,0,0.0
230608,05:00:00,0,0.0
230608,05:15:00,0,0.0
230608,05:30:00,0,0.0
230608,05:45:00,0,0.0
230608,06:00:00,0,0.0
230608,06:15:00,0,0.0
230608,06:30:00,0,0.0
230608,06:45:00,0,0.0
230608,07:00:00,4,1.0
230608,07:15:00,16,4.0
230608,07:30:00,30,7.5
230608,07:45:00,39,9.75
230608,08:00:00,50,12.5
230608,08:15:00,115,28.75
230608,08:30:00,145,36.25
230608,08:45:00,139,34.75
230608,09:00:00,112,28.0
230608,09:15:00,219,54.75
230608,09:30:00,261,65.25
230608,09:45:00,326,81.5
230608,10:00:00,141,35.25
230608,10:15:00,91,22.75
230608,10:30:00,405,101.25
230608,10:45:00,497,124.25
230608,11:00:00,352,88.0
230608,11:15:00,608,152.0
230608,11:30:00,483,120.75
230608,11:45:00,448,112.0
230608,12:00:00,341,85.25
230608,12:15:00,589,147.25
230608,12:30:00,854,213.5
230608,12:45:00,427,106.75
230608,13:00:00,714,178.5
230608,13:15:00,584,146.0
230608,13:30:00,494,123.5
230608,13:45:00,741,185.25
230608,14:00:00,876,219.0
230608,14:15:00,747,186.75
230608,14:30:00,537,134.25
230608,14:45:00,302,75.5
230608,15:00:00,618,154.5
230608,15:15:00,729,182.25
230608,15:30:00,368,92.0
230608,15:45:00,392,98.0
230608,16:00:00,703,175.75
230608,16:15:00,780,195.0
230608,16:30:00,204,51.0
230608,16:45:00,376,94.0
230608,17:00:00,521,130.25
230608,17:15:00,594,148.5
230608,17:30:00,518,129.5
230608,17:45:00,471,117.75
230608,18:00:00,531,132.75
230608,18:15:00,449,112.25
230608,18:30:00,389,97.25
230608,18:45:00,323,80.75
230608,19:00:00,259,64.75
230608,19:15:00,196,49.0
230608,19:30:00,102,25.5
230608,19:45:00,64,16.0
230608,20:00:00,51,12.75
230608,20:15:00,24,6.0
230608,20:30:00,10,2.5
230608,20:45:00,1,0.25
230608,21:00:00,0,0.0
230608,21:15:00,0,0.0
230608,21:30:00,0,0.0
230608,21:45:00,0,0.0
230608,22:00:00,0,0.0
230608,22:15:00,0,0.0
230608,22:30:00,0,0.0
230608,22:45:00,0,0.0
230608,23:00:00,0,0.0
230608,23:15:00,0,0.0
230608,23:30:00,0,0.0
230608,23:45:00,0,0.0
230609,00:00:00,0,0.0
230609,00:15:00,0,0.0
230609,00:30:00,0,0.0
230609,00:45:00,0,0.0
230609,01:00:00,0,0.0
230609,01:15:00,0,0.0
230609,01:30:00,0,0.0
230609,01:45:00,0,0.0
230609,02:00:00,0,0.0
230609,02:15:00,0,0.0
230609,02:30:00,0,0.0
230609,02:45:00,0,0.0
230609,03:00:00,0,0.0
230609,03:15:00,0,0.0
230609,03:30:00,0,0.0
230609,03:45:00,0,0.0
230609,04:00:00,0,0.0
230609,04:15:00,0,0.0
230609,04:30:00,0,0.0
230609,04:45:00,0,0.0
230609,05:00:00,0,0.0
230609,05:15:00,0,0.0
230609,05:30:00,0,0.0
230609,05:45:00,0,0.0
230609,06:00:00,0,0.0
230609,06:15:00,0,0.0
230609,06:30:00,0,0.0
230609,06:45:00,0,0.0
230609,07:00:00,0,0.0
230609,07:15:00,0,0.0
230609,07:30:00,8,2.0
230609,07:45:00,14,3.5
230609,08:00:00,18,4.5
230609,08:15:00,21,5.25
230609,08:30:00,80,20.0
230609,08:45:00,111,27.75
230609,09:00:00,104,26.0
230609,09:15:00,139,34.75
230609,09:30:00,192,48.0
230609,09:45:00,274,68.5
230609,10:00:00,218,54.5
230609,10:15:00,201,50.25
230609,10:30:00,463,115.75
230609,10:45:00,318,79.5
230609,11:00:00,211,52.75
230609,11:15:00,87,21.75
230609,11:30:00,72,18.0
230609,11:45:00,198,49.5
230609,12:00:00,319,79.75
230609,12:15:00,640,160.0
230609,12:30:00,718,179.5
230609,12:45:00,616,154.0
230609,13:00:00,696,174.0
230609,13:15:00,657,164.25
230609,13:30:00,868,217.0
230609,13:45:00,500,125.0
230609,14:00:00,767,191.75
